pid,text,type,time,reply,likenum
5141544,我破防了，黑化中,text,2023-06-08 00:36:47,0,1
5141545,想脱单想被人喜欢,text,2023-06-08 00:37:03,33,6
5141546,"5141388
我觉得挺搞笑的
这是从♀视角角度思考问题，对女生来说当然是明智的
但是对♂来说显然就不是了
只能说现在结婚越来越像做生意了",text,2023-06-08 00:37:03,16,5
5141547,刑总，最难背的是刑法的启蒙吧呜呜呜呜,text,2023-06-08 00:37:08,0,1
5141548,好饿，现在能吃啥,text,2023-06-08 00:37:18,0,1
5141549,真实球迷汇：出生，就是出生,text,2023-06-08 00:37:58,0,1
5141550,求问文创店有无售卖邮票呀,text,2023-06-08 00:38:28,1,1
5141551,求知产笔记,text,2023-06-08 00:38:33,0,1
5141552,有偿求知产笔记,text,2023-06-08 00:38:46,0,1
5141553,炒面现在还在排队吗,text,2023-06-08 00:38:51,1,1
5141554,"庾郎盘马地，却怕有春泥。
扎心了。",text,2023-06-08 00:38:53,5,4
5141555,有偿求商总笔记,text,2023-06-08 00:38:54,0,1
5141556,我决定只做两类事情 1.让我能变得更好过的更好的事情 2.让我快乐的事情,text,2023-06-08 00:39:33,3,3
5141557,开卷考试到底咋复习啊,text,2023-06-08 00:39:36,3,1
5141558,c已经摸鱼20min了 必须滚去学习了,text,2023-06-08 00:41:43,3,4
5141559,搓火写论文，今晚七点前产出4000字是否可行！需要您的鼓励！,text,2023-06-08 00:41:44,2,3
5141560,popi 期末季摆烂,text,2023-06-08 00:42:01,9,3
5141561,"5141388
男性“明智”的择偶手段和女性“明智”的择偶手段本身就冲突
所以dz提类似的观点必然会出现两极分化的评价",text,2023-06-08 00:42:21,2,3
5141562,"出书 基本全新无勾画 fy
《民事诉讼法》 张卫平著 法律出版社 第五版 5元
《竞争法》 江帆主编 法律出版社 2019年版 10元
《经济法学》 张守文著 北大出版社 第七版 10元",text,2023-06-08 00:42:25,1,1
5141563,"编译 lab
sysy->riscv，dz每个Lv的线上测试，那些本地有的case全是AC，但本地没有的case全是CTE/ONF，而且返回值显示parsing失败了😭😭😭就如图
感觉好奇怪，因为dz在往年case上也是大部分跑通的（应该只有寄存器分配有点边缘bug），不至于Lv1就全部都不过...",image,2023-06-08 00:42:35,2,2
5141564,"期末打卡：
—————————
1. 8.离开寝室
2. 2.之前睡觉
3. 去图书馆
4. 不主动和他说话",text,2023-06-08 00:42:41,1,2
5141565,求问洞友外校跨保本校研究生需要做那些方向的准备，比如本研？大学生竞赛？死卷GPA？,text,2023-06-08 00:42:46,0,2
5141566,想找一个可爱挂的女生一起自习度过艰难的期末季诶,text,2023-06-08 00:43:15,42,7
5141567,现在是，幻想时间！,image,2023-06-08 00:43:18,10,2
5141568,真的很想很想很想qny，忍不住了，一直在努力压制自己的喜欢，反复提醒自己他不值得，可一面又很想很想他😭😭😭😭😭😭😭😭😭,text,2023-06-08 00:43:31,16,1
5141568,真的很想很想很想qny，忍不住了，一直在努力压制自己的喜欢，反复提醒自己他不值得，可一面又很想很想他😭😭😭😭😭😭😭😭😭,text,2023-06-08 00:43:31,16,1
5141569,"朋友们高考加油！

给你们讲讲我高考的离谱事儿：
1. 我考数学前人生第一次喝红牛，结果在考场上心跳巨快无法专心，全盘考砸。
2. 我历史答题卡写串了，最后五分钟才发现。
3. 我高考考了人生最差的一次。考完老师再也没理过我。
4. 我语文一共扣了不到十分，有一半都扣在古诗默写。
5. 高考完我ex来考场门口接我，撞上我爸妈了（那时候还没在一起）。
6. 因为考得太差我不敢查分。是我妈查完了打电话告诉的我，声音透露着焦虑。
7. 最后我还是压线进了想去的学校和专业。
8. 好不容易考上，但进了大学觉得跟想象的不一样，我大一就退学了。
9. 去的第二个学校我还是不喜欢，总觉得“这不是我该待的地儿”。
10. 高考完六年我到哈佛，看到各种高考考砸了的、保送失败的、被关系户挤掉名额的、小地方卷出来的天才。他们在泥沼中摸爬滚打出一片天空。 

你只管把题写完，剩下的交给命运来安排。",text,2023-06-08 00:43:43,8,9
5141570,当我决定提升自己的人格魅力学一门乐器的时候，发现撩动心弦的是贝斯😇xs这不又走回老路上了,text,2023-06-08 00:43:45,0,1
5141571,室友在宿舍读法语，总觉得他在发出吐痰的声音……,text,2023-06-08 00:43:53,1,2
5141572,正经问 为什么吃完辣条去小便可以闻到辣条的味道,text,2023-06-08 00:43:56,3,3
5141573,帽皇：我从小喝到大,image,2023-06-08 00:44:08,1,1
5141575,"什么时候我的室友才能学会关门啊
半夜出去一趟回来把门大敞着 自己爬床上去了
这tmd是干嘛？？",text,2023-06-08 00:44:57,3,4
5141576,"打开知乎，看见日本大学生就业率97%的话题
点进去一看，高赞全是日本福利爆杀中国，日本经济衰落只是小粉红一厢情愿云云……
然后后续就是吹日本经济马上就要起飞了，中国马上要失去二十年……
我懵逼了……",text,2023-06-08 00:46:05,11,10
5141577,收如愿音乐会门票，一张或两张都可,text,2023-06-08 00:46:07,1,2
5141578,求问大家，mly社心实验报告3k字算少吗,text,2023-06-08 00:47:33,0,1
5141579,其实偶尔想自杀是很正常的对吧,text,2023-06-08 00:47:36,11,7
5141580,popi  estp随便问，不一定说真话,text,2023-06-08 00:47:49,6,2
5141581,男朋友看着很严肃很冷淡 会有男的从来不手冲吗 我感觉我都想象不出来他做这种事,text,2023-06-08 00:48:50,10,9
5141582,也不能说这集没给帽子演出资源，但是这里关键地方拉了大胯啊，都成ppt了😅,image,2023-06-08 00:49:19,2,2
5141583,"60r收今年地概周五班 板书+补充
最好是小组自己整理的！
vx 18811087330",text,2023-06-08 00:49:27,0,1
5141584,神出鬼没 这个电影典型的好莱坞八股文,text,2023-06-08 00:49:55,1,2
5141585,首阳期间生理期，八天了还没结束。。正常吗,text,2023-06-08 00:50:26,2,2
5141586,"武汉三镇足球俱乐部：刘殿座、韦世豪、邓涵文、谢鹏飞、高准翼；
山东泰山足球俱乐部：王大雷、孙国文、刘洋、陈蒲；
浙江职业足球俱乐部：张佳祺；
上海海港足球俱乐部：武磊、颜骏凌、张琳芃、蒋光太、王燊超、徐新、魏震；
成都蓉城足球俱乐部：艾克森；
河南足球俱乐部：王上源；
北京国安足球俱乐部：王子铭、李磊；
天津津门虎足球俱乐部：王秋明、明天；
大连人职业足球俱乐部：林良铭。",text,2023-06-08 00:50:37,0,0
5141587,有没有洞友可以出租【有北大袖边的粉领L码本科学士学位服】，拍毕业照用一天，没确定日期先蹲一下,text,2023-06-08 00:50:41,3,1
5141588,昨天和男朋友很严肃的吵架到快分手 今天亲亲格外的舒适 嘴唇好软 突然懂了为什么会有那种吵完do就和好的,text,2023-06-08 00:52:23,3,4
5141589,不完美，但又总是没法接受自己犯错该怎么办，如何开导自己,text,2023-06-08 00:52:31,0,1
5141590,请问地概纸质作业的答案在教学网哪个位置啊，dx没有找到,text,2023-06-08 00:52:42,0,1
5141591,"5139468
鼠鼠耐着性子看完了这个🕳
这个dz说的一句话凝聚了他的一切思想：
让精英人士有更加合理的资源分配然后带动大家一起喝汤，而不是在现有制度下大家一起吃糠",text,2023-06-08 00:53:01,14,4
5141592,蹲一个周五复习搭子，我复习一半了，想和人一起讨论一下思考题,text,2023-06-08 00:53:04,3,2
5141593,有朋友因为要去招生选择7月8日军训吗,text,2023-06-08 00:53:08,10,3
5141594,"好像要柏拉图式恋爱
真的是精神支撑那种…",text,2023-06-08 00:53:57,9,4
5141595,很想谈个恋爱呢，谈不到就找个自习搭子吧，坐标医学部,text,2023-06-08 00:54:10,3,1
5141596,popi 随便聊,text,2023-06-08 00:54:27,32,3
5141597,"popi
正在和男朋友抱在一起躺在床上",text,2023-06-08 00:55:10,10,7
5141598,test,text,2023-06-08 00:55:27,1,2
5141599,popi 在看推子,text,2023-06-08 00:56:12,12,4
5141600,问个问题，如果高校老师或者政府官员有多个情人，但是保持单身不结婚，并且和学生或者上下属都清清白白，会被查私德问题吗,text,2023-06-08 00:56:18,6,5
